tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-ring-id,animal-sex,deployment-comments
126612,CA - Carl - ACEC,Numenius americanus,2013-04-22 15:07:00.000,2013-05-31 18:16:00.000,Read about Carl here: http://ibo.boisestate.edu/curlewtracking/profiles/#Carl,Carl was shot on the ACEC. Read the story here: http://ibo.boisestate.edu/blog/bad-news-for-one-of-our-curlews/,,m,
126611,AX - Curley - ACEC,Numenius americanus,2013-04-22 16:34:00.000,2013-09-29 13:42:00.000,Read about Curley here: http://ibo.boisestate.edu/curlewtracking/profiles/#Curley,Curley died in CA of unknown causes. http://ibo.boisestate.edu/blog/curlews-on-the-move-in-november/,,f,
126610,AM - Ada - ACEC,Numenius americanus,2013-05-09 00:00:00.000,2013-07-10 00:00:00.000,Read about Ada here: http://ibo.boisestate.edu/curlewtracking/profiles/#Ada,Ada was killed by a predator in July 2013. Read more here: http://ibo.boisestate.edu/blog/another-curlew-loss/,,f,
126609,AU - Borah - Pahsimeroi,Numenius americanus,2013-05-25 00:00:00.000,2014-06-07 00:00:00.000,Borah's transmitter was removed summer 2014. Read about Borah here: http://ibo.boisestate.edu/curlewtracking/profiles/#Borah,,,m,"Pahsimeroi
"
126612,AE - Emmett - ACEC,Numenius americanus,2013-06-04 21:14:00.000,2016-06-21 00:00:00.000,Read about Emmett here: http://ibo.boisestate.edu/curlewtracking/profiles/#Emmett,,,m,
137441,AH - Henrietta - TNC Flat Ranch,Numenius americanus,2014-04-03 21:41:00.000,2017-06-03 00:00:00.000,Read about Henrietta here: http://ibo.boisestate.edu/curlewtracking/profiles/#henrietta,,,f,Removed transmitter after a successful 3 years! :)
137439,AN - Goldie - Pahsimeroi,Numenius americanus,2014-04-03 21:42:00.000,,Read more about Goldie here: http://ibo.boisestate.edu/curlewtracking/profiles/#Goldie,,,f,
137440,AJ - A.J. - Elk Refuge,Numenius americanus,2014-04-03 21:43:00.000,,Read about A.J. here: http://ibo.boisestate.edu/curlewtracking/profiles/#AJ,,,f,
126611,CC - Bethine - ACEC,Numenius americanus,2014-04-10 22:06:00.000,2016-04-16 00:00:00.000,Read about Bethine here: http://ibo.boisestate.edu/curlewtracking/profiles/#Church,,,f,
126610,AA - Frank - ACEC,Numenius americanus,2014-05-01 00:00:00.000,,Read about Frank here: http://ibo.boisestate.edu/curlewtracking/profiles/#Church,,,m,
137438,AK - Venus - ACEC,Numenius americanus,2014-05-05 00:00:00.000,2014-05-27 00:00:00.000,Read about Venus here: http://ibo.boisestate.edu/curlewtracking/profiles/#Venus,Venus was shot in May 2014. Read more here: http://ibo.boisestate.edu/blog/silver-lining/,,f,
128876,CJ - Dave - MPG Ranch,Numenius americanus,2014-05-12 00:00:00.000,2015-05-25 00:00:00.000,Read about Dave here: http://ibo.boisestate.edu/curlewtracking/profiles/#dave,,,f,
128879,AL - Florence - MPG Ranch,Numenius americanus,2014-05-13 00:00:00.000,2014-09-01 00:00:00.000,Read about Florence here: http://ibo.boisestate.edu/curlewtracking/profiles/#florence,,,f,
128877,AV - Beast - MPG Ranch,Numenius americanus,2014-05-14 00:00:00.000,,,,,,
