"longitude";"latitude"
-113.603;44.349
-113.59;44.349
-113.598;44.351
-113.601;44.352
-113.564;44.361
-113.595;44.354
-113.598;44.354
-113.606;44.364
-113.589;44.35
-113.587;44.349
-113.602;44.353
-113.603;44.354
-113.6;44.352
-113.6;44.353
-113.599;44.351
-113.604;44.36
-113.628;44.367
-113.612;44.359
-113.583;44.35
-113.595;44.348
-113.634;44.364
-113.605;44.346
-113.621;44.359
-113.61;44.353
-113.592;44.363
-113.592;44.364
-113.604;44.347
-113.593;44.321
-113.582;44.35
-113.615;44.345
-113.599;44.353
-113.595;44.35
-113.601;44.35
-113.6;44.35
-113.6;44.349
-113.601;44.351
-113.601;44.348
-113.599;44.352
-113.59;44.356
-113.605;44.356
-113.597;44.352
-113.602;44.35
-113.58;44.353
-113.587;44.332
-113.601;44.354
-113.602;44.355
-113.609;44.386
-113.579;44.348
-113.599;44.358
-113.603;44.359
-113.591;44.334
-113.596;44.344
-113.606;44.353
-113.598;44.348
-113.596;44.35
-113.591;44.355
-113.591;44.353
-113.597;44.35
-113.6;44.351
-113.62;44.39
-113.652;44.37
-113.621;44.37
-113.608;44.35
-113.609;44.36
-113.6;44.356
-113.602;44.352
-113.601;44.353
-113.61;44.35
-113.58;44.362
-113.526;44.363
-113.593;44.348
-113.606;44.356
-113.593;44.358
-113.571;44.338
-113.603;44.352
-113.598;44.352
-113.617;44.348
-113.606;44.351
-113.597;44.351
-113.599;44.354
-113.578;44.351
-113.572;44.359
-113.608;44.353
-113.605;44.351
-113.606;44.352
-113.609;44.358
-113.649;44.333
-113.658;44.331
-113.607;44.35
-113.612;44.354
-113.595;44.356
-113.609;44.351
-113.583;44.364
-113.613;44.372
-113.611;44.339
-113.556;44.352
-113.593;44.345
-113.593;44.353
-113.593;44.352
-113.603;44.351
-113.608;44.349
-113.596;44.353
-113.6;44.359
-113.569;44.339
-113.597;44.358
-113.594;44.352
-113.634;44.365
-113.617;44.362
-113.602;44.362
-113.61;44.36
-113.636;44.354
-113.617;44.36
-113.579;44.357
-113.589;44.362
-113.599;44.356
-113.586;44.354
-113.608;44.352
-113.589;44.353
-113.605;44.355
-113.552;44.342
-113.621;44.362
-113.618;44.361
-113.622;44.361
-113.616;44.363
-113.628;44.348
-113.6;44.365
-113.623;44.359
-113.627;44.357
-113.622;44.359
-113.616;44.358
-113.598;44.363
-113.59;44.364
-113.615;44.351
-113.593;44.357
-113.619;44.358
-113.627;44.359
-113.606;44.361
-113.61;44.351
-113.603;44.353
-113.626;44.36
-113.602;44.351
-113.592;44.351
-113.597;44.353
-113.6;44.354
-113.599;44.35
-113.6;44.334
-113.623;44.358
-113.579;44.352
-113.606;44.355
-113.604;44.355
-113.498;44.385
-113.615;44.362
-113.621;44.357
-113.603;44.358
-113.604;44.357
-113.62;44.357
-113.608;44.356
-113.609;44.348
-113.609;44.356
-113.633;44.35
-113.641;44.349
-113.607;44.355
-113.603;44.344
-113.274;42.504
-113.17;42.266
-113.18;42.223
-113.313;41.82
-115.01;36.605
-114.998;36.402
-115.16;36.327
-115.063;35.991
-115.08;35.701
-115.114;35.551
-115.662;33.087
-115.648;33.073
-115.654;33.069
-115.644;33.071
-115.65;33.073
-115.649;33.07
-115.659;33.071
-115.06;32.14
-115.019;32.161
-115.02;32.161
-115.004;32.261
-115.014;32.262
-115.011;32.26
-115.006;32.261
-115.005;32.261
-114.999;32.255
-115.01;32.262
-115.007;32.26
-115.008;32.261
-115.008;32.26
-115.018;32.268
-115.039;32.26
-114.942;31.911
-114.966;31.784
-114.943;31.867
-114.919;31.862
-114.906;31.862
-114.702;31.747
-114.711;31.744
-114.715;31.743
-114.721;31.74
-114.702;31.745
-114.707;31.738
-114.71;31.745
-114.708;31.746
-114.703;31.744
-114.706;31.749
-114.705;31.749
-114.702;31.744
-114.701;31.743
-114.704;31.746
-114.705;31.743
-114.708;31.744
-114.706;31.745
-114.712;31.745
-114.697;31.705
-114.714;31.747
-114.705;31.744
-114.706;31.744
-114.692;31.735
-114.717;31.745
-114.72;31.735
-114.729;31.733
-114.712;31.751
-114.708;31.743
-114.709;31.742
-114.712;31.743
-114.707;31.744
-114.708;31.742
-114.708;31.741
-114.71;31.743
-114.716;31.741
-114.708;31.74
-114.678;31.74
-114.719;31.748
-114.703;31.742
-114.706;31.746
-114.719;31.743
-114.713;31.758
-114.719;31.735
-114.784;31.751
-114.79;31.754
-114.737;31.747
-114.746;31.726
-114.742;31.723
-114.705;31.74
-114.711;31.74
-114.71;31.742
-114.712;31.739
-114.755;31.729
-114.712;31.742
-114.706;31.743
-114.712;31.744
-114.718;31.747
-114.702;31.74
-114.717;31.742
-114.715;31.744
-114.777;31.73
-114.725;31.744
-114.734;31.774
-114.704;31.753
-114.715;31.751
-114.701;31.754
-114.696;31.754
-114.7;31.754
-114.705;31.755
-114.664;31.739
-114.707;31.747
-114.708;31.747
-114.709;31.745
-114.705;31.742
-114.703;31.741
-114.712;31.74
-114.711;31.738
-114.707;31.742
-114.709;31.744
-114.709;31.741
-114.707;31.741
-114.707;31.743
-114.711;31.743
-114.711;31.745
-114.706;31.75
-114.705;31.739
-114.725;31.741
-114.716;31.743
-114.702;31.749
-114.732;31.732
-114.728;31.74
-114.702;31.736
-114.71;31.744
-114.708;31.745
-114.733;31.748
-114.713;31.743
-114.695;31.741
-114.707;31.746
-114.718;31.744
-114.711;31.746
-114.771;31.727
-114.703;31.747
-114.702;31.739
-114.705;31.773
-114.704;31.751
-114.703;31.753
-114.706;31.755
-114.713;31.754
-114.709;31.746
-114.704;31.744
-114.705;31.746
-114.707;31.745
-114.743;31.751
-114.711;31.742
-114.714;31.735
-114.705;31.745
-114.713;31.744
-114.695;31.789
-114.709;31.743
-114.683;31.738
-114.719;31.759
-114.72;31.738
-114.718;31.739
-114.722;31.73
-114.706;31.741
-114.712;31.741
-114.71;31.741
-114.706;31.735
-114.709;31.74
-114.716;31.75
-114.727;31.748
-114.703;31.74
-114.748;31.753
-114.674;31.736
-114.711;31.748
-114.714;31.749
-114.721;31.745
-114.716;31.728
-114.701;31.739
-114.731;31.737
-114.72;31.74
-114.703;31.752
-114.707;31.752
-114.692;31.756
-114.693;31.756
-114.707;31.756
-114.7;31.744
-114.719;31.745
-114.711;31.741
-114.709;31.738
-114.697;31.737
-114.746;31.75
-114.717;31.746
-114.711;31.735
-114.708;31.739
-114.714;31.745
-114.696;31.74
-114.721;31.748
-114.702;31.748
-114.745;31.735
-114.716;31.739
-114.7;31.741
-114.695;31.737
-114.71;31.75
-114.709;31.736
-114.742;31.715
-114.763;31.731
-114.824;31.761
-114.714;31.741
-114.693;31.742
-114.7;31.743
-114.679;31.741
-114.699;31.741
-114.704;31.74
-114.726;31.74
-114.715;31.747
-114.701;31.741
-114.729;31.735
-114.714;31.743
-114.703;31.75
-114.703;31.751
-114.71;31.754
-114.698;31.753
-114.699;31.749
-114.71;31.786
-114.73;31.736
-114.689;31.751
-114.7;31.753
-114.697;31.753
-114.706;31.74
-114.695;31.754
-114.702;31.75
-114.693;31.753
-114.702;31.753
-114.714;31.763
-114.71;31.76
-114.716;31.762
-114.699;31.745
-114.71;31.748
-114.71;31.746
-114.691;31.74
-114.704;31.742
-114.702;31.742
-114.713;31.741
-114.715;31.739
-114.719;31.742
-114.726;31.742
-114.711;31.736
-114.708;31.75
-114.713;31.742
-114.715;31.745
-114.707;31.748
-114.714;31.742
-114.694;31.741
-114.713;31.745
-114.712;31.738
-114.7;31.745
-114.705;31.741
-114.715;31.746
-114.719;31.744
-114.713;31.759
-114.702;31.743
-114.705;31.747
-114.713;31.738
-114.716;31.742
-114.72;31.739
-114.712;31.737
-114.704;31.741
-114.717;31.738
-114.708;31.738
-114.716;31.734
-114.714;31.739
-114.717;31.74
-114.703;31.743
-114.71;31.739
-114.695;31.739
-114.701;31.745
-114.694;31.745
-114.72;31.743
-114.704;31.731
-114.704;31.749
-114.723;31.739
-114.704;31.745
-114.695;31.756
-114.699;31.756
-114.696;31.753
-114.704;31.752
-114.705;31.752
-114.705;31.753
-114.704;31.75
-114.719;31.74
-114.702;31.754
-114.702;31.751
-114.702;31.746
-114.703;31.745
-114.697;31.745
-114.704;31.748
-114.729;31.729
-114.713;31.729
-114.717;31.73
-114.717;31.727
-114.714;31.737
-114.714;31.738
-114.726;31.744
-114.728;31.746
-114.706;31.737
-114.71;31.757
-114.918;31.868
-115.286;32.54
-115.692;33.045
-115.666;33.129
-115.675;33.13
-115.679;33.129
-115.677;33.131
-115.7;33.144
-115.665;33.122
-115.698;33.147
-115.661;33.029
-115.681;33.081
-115.678;33.077
-115.675;33.101
-115.668;33.108
-115.747;33.097
-115.696;33.11
-115.676;33.106
-115.688;33.111
-115.69;33.11
-115.686;33.103
-115.697;33.109
-115.692;33.105
-115.697;33.112
-115.698;33.111
-115.693;33.112
-115.695;33.113
-115.696;33.102
-115.703;33.097
-115.696;33.095
-115.698;33.097
-115.693;33.097
-115.697;33.096
-115.701;33.085
-115.772;33.057
-115.689;33.095
-115.691;33.085
-115.69;33.083
-115.697;33.084
-115.674;33.074
-115.689;33.094
-115.681;33.085
-115.7;33.098
-115.701;33.097
-115.699;33.095
-115.704;33.096
-115.693;33.098
-115.7;33.089
-115.705;33.099
-115.688;33.132
-115.681;33.128
-115.675;33.136
-115.693;33.13
-115.675;33.129
-115.672;33.128
-115.567;33.136
-115.64;33.08
-115.652;33.118
-115.705;33.107
-115.703;33.092
-115.696;33.098
-115.697;33.083
-115.693;33.082
-115.701;33.098
-115.699;33.098
-115.686;33.093
-115.704;33.098
-115.702;33.096
-115.676;33.101
-115.7;33.097
-115.697;33.098
-115.698;33.095
-115.7;33.095
-115.7;33.096
-115.699;33.096
-115.698;33.096
-115.676;33.117
-115.671;33.108
-115.645;33.108
-115.398;33.128
-115.421;33.138
-115.658;33.1
-115.652;33.072
-115.676;33.1
-115.702;33.097
-115.693;33.094
-115.704;33.093
-115.705;33.095
-115.702;33.094
-115.703;33.096
-115.705;33.096
-115.676;33.091
-115.7;33.094
-115.721;33.134
-115.644;33.124
-115.639;33.124
-115.459;33.105
-115.505;33.124
-115.631;33.135
-115.638;33.148
-115.61;33.151
-115.698;33.1
-115.691;33.117
-115.667;33.116
-115.651;33.116
-115.709;33.094
